"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
13,"1","2024-10-02T14:25:55.673416Z",12,"http://localhost:8081/GB.380069.A-013.png","[{""x"":21.341220924428463,""y"":23.377520215633428,""width"":62.07276163854786,""height"":58.84018867924529,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",34.177,"2024-10-02T14:25:55.673439Z"
14,"1","2024-10-02T14:27:02.753213Z",13,"http://localhost:8081/GB.380069.A-014.png","[{""x"":28.179614903849515,""y"":2.961169539956372,""width"":55.38373168268581,""height"":32.46138410007266,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":35.570000000000014,""y"":40.309999999999995,""width"":41.51,""height"":32.916276820014524,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",64.111,"2024-10-02T14:27:02.753242Z"
15,"1","2024-10-02T14:28:34.612323Z",14,"http://localhost:8081/GB.380069.A-015.png","[{""x"":18.666424411833233,""y"":20.073665768194022,""width"":62.12357558816676,""height"":59.604043126684616,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",36.122,"2024-10-02T14:28:34.612351Z"
16,"1","2024-10-02T14:29:21.033661Z",15,"http://localhost:8081/GB.380069.A-016.png","[{""x"":21.19122092442839,""y"":23.137388572239274,""width"":63.279956407440686,""height"":59.030320322639206,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",46.011,"2024-10-02T14:29:21.033682Z"
17,"1","2024-10-02T14:30:13.591971Z",16,"http://localhost:8081/GB.380069.A-017.png","[{""x"":27.576017437023726,""y"":40.709999999999994,""width"":56.118372100761945,""height"":32.34629791140059,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":27.36122092442843,""y"":3.1170619946091582,""width"":55.895566869654914,""height"":32.525876010781666,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",52.135,"2024-10-02T14:30:13.591988Z"
18,"1","2024-10-02T14:30:58.410259Z",17,"http://localhost:8081/GB.380069.A-018.png","[{""x"":19.06558660642532,""y"":19.357061994609158,""width"":60.9144133935746,""height"":58.03064690026943,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",44.381,"2024-10-02T14:30:58.410276Z"
19,"1","2024-10-02T14:32:24.891215Z",18,"http://localhost:8081/GB.383549.A-006.png","[{""x"":21.640000000000008,""y"":32.79588003615751,""width"":57.609677576280816,""height"":18.27823992768502,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":22.86064484743839,""y"":51.88940018078752,""width"":56.408065457684756,""height"":17.438639807160182,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":21.658008718511866,""y"":14.81999999999999,""width"":56.62199128148813,""height"":18.53803998794751,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":23.96,""y"":70.24,""width"":52.74,""height"":14.05,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",86.071,"2024-10-02T14:32:24.891243Z"
20,"1","2024-10-02T15:47:55.867215Z",19,"http://localhost:8081/GB.383549.A-007.png","[{""x"":22.8,""y"":60.26,""width"":50.09,""height"":26.37,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":22.16,""y"":30.82,""width"":55.37,""height"":15.03,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":21.98,""y"":16.52,""width"":54.84,""height"":15.09,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":22.5,""y"":45.93,""width"":52.81,""height"":14.27,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",95.463,"2024-10-02T15:47:55.867264Z"
24,"1","2024-10-03T16:00:34.268677Z",20,"http://localhost:8081/GB.383549.A-008.png","[{""x"":50.689999999999976,""y"":6.639999999999997,""width"":13.472960189931154,""height"":28.620000000000008,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":23.650000000000105,""y"":41.53,""width"":17.148264939647067,""height"":30.299999999999994,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":57.41,""y"":41.59,""width"":17.4,""height"":29.76,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":21.68,""y"":5.82,""width"":15.35,""height"":29.3,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":36.19,""y"":5.3,""width"":14.51,""height"":29.68,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":75.31,""y"":43.16,""width"":13.7,""height"":27.68,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":40.39463222887624,""y"":41.497146916729946,""width"":17.025635849494744,""height"":30.292927081861503,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":64.2080454572344,""y"":6.713579039302754,""width"":12.960828790417327,""height"":28.62996664092608,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":77.16824134583715,""y"":15.508541169317184,""width"":12.593339639634582,""height"":12.008478385452687,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",1189.894,"2024-10-03T16:00:34.268701Z"
22,"1","2024-10-02T15:50:50.303964Z",21,"http://localhost:8081/GB.388296.A-004.png","[{""x"":19.21,""y"":57.47,""width"":58.72,""height"":16.65,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":46.14,""y"":26.8,""width"":35.92,""height"":24.29,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":21.45,""y"":25.94,""width"":32.64,""height"":23.92,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",39.811,"2024-10-02T15:50:50.303986Z"
23,"1","2024-10-02T15:51:47.539236Z",22,"http://localhost:8081/GB.388296.A-005.png","[{""x"":19.599999999999987,""y"":17.159999999999997,""width"":64.29158430667867,""height"":31.900000000000006,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":18.71,""y"":56.07,""width"":42.63,""height"":27.57,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":61.33999999999998,""y"":56.010000000000005,""width"":22.14678779408341,""height"":28.73,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",41.994,"2024-10-02T15:51:47.539272Z"
25,"1","2024-10-03T16:18:33.597659Z",23,"http://localhost:8081/GB.388296.A-006.png","[{""x"":22.609999999999985,""y"":2.8773124270982464,""width"":29.939999999999994,""height"":33.35268757290181,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":59.07,""y"":3.0397155630335106,""width"":27.279999999999994,""height"":33.990284436966526,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":60.92,""y"":42.79,""width"":15.7,""height"":30.27,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":31.94,""y"":40.22,""width"":22.99,""height"":18.79,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":31.33,""y"":54.68,""width"":22.49,""height"":17.19,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",46.533,"2024-10-03T16:18:33.597685Z"
26,"1","2024-10-03T16:18:48.629068Z",24,"http://localhost:8081/GB.388684.A-003.png","[{""x"":34.95,""y"":7.78,""width"":34.76,""height"":36.03,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":40.08,""y"":51.77,""width"":25.69,""height"":30.67,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",14.604,"2024-10-03T16:18:48.629106Z"
27,"1","2024-10-03T16:19:39.933563Z",25,"http://localhost:8081/GB.389911.A-012.png","[{""x"":25.89,""y"":13.06,""width"":55.44,""height"":29.53,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":20.76,""y"":62,""width"":44.37,""height"":20.84,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":21.72,""y"":43.67,""width"":37.5,""height"":8.35,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":55.83,""y"":53.36,""width"":27.01,""height"":9.66,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":21.57,""y"":52.339999999999975,""width"":33.03177919855338,""height"":6.209999999999998,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":66.59,""y"":39.45,""width"":12.42,""height"":10.32,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",50.864,"2024-10-03T16:19:39.933596Z"
28,"1","2024-10-03T16:23:34.123357Z",26,"http://localhost:8081/GB.389911.A-013.png","[{""x"":15.35,""y"":16.589999999999993,""width"":34.139999999999986,""height"":30.882528334786386,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":50.539999999999985,""y"":16.51,""width"":33.393954707395565,""height"":31.002528334786383,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":17.250000000000007,""y"":60.91999999999993,""width"":27.41443594131765,""height"":26.73999999999997,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":16.360000000000007,""y"":48.1902877070619,""width"":34.88,""height"":11.019712292938129,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":50.62,""y"":61.97,""width"":30.4,""height"":10.15,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":54.09,""y"":49.32,""width"":25.54,""height"":11.92,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":57.599999999999994,""y"":71.90902353966871,""width"":22.879999999999992,""height"":7.2209764603312365,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",233.722,"2024-10-03T16:23:34.123396Z"
29,"1","2024-10-03T17:31:03.096604Z",27,"http://localhost:8081/GB.389911.A-014.png","[{""x"":22.47,""y"":41.96,""width"":26.95,""height"":28.6,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":21.9,""y"":19.79,""width"":39.2,""height"":19.22,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":21.37,""y"":3.72,""width"":29.4,""height"":17.08,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":62.61,""y"":18.89,""width"":24.73,""height"":18.91,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":67.47,""y"":50.18,""width"":18.96,""height"":22.85,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":51.56,""y"":3.77,""width"":12.63,""height"":15.11,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":50.43,""y"":53.25,""width"":7.88,""height"":19.42,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":63.32,""y"":4.9,""width"":9.54,""height"":15.76,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":58.84,""y"":41.18,""width"":9.12,""height"":13.9,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":57.75,""y"":55.45,""width"":6.6,""height"":17.45,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":71.39,""y"":5.15,""width"":7.88,""height"":13.06,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":46.06,""y"":43.15,""width"":9.61,""height"":6.45,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",87.085,"2024-10-03T17:31:03.096713Z"
30,"1","2024-10-03T17:31:57.030040Z",28,"http://localhost:8081/GB.389911.A-015.png","[{""x"":23.19,""y"":12.12,""width"":59.26,""height"":31.5,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":29.4,""y"":58.47,""width"":18.6,""height"":24.4,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":61.07,""y"":58.81,""width"":26.74,""height"":11.37,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":22.45,""y"":46.38,""width"":38.08,""height"":7.87,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":63.77,""y"":46.21,""width"":24.15,""height"":10.95,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":67.75,""y"":26.65,""width"":16.09,""height"":9.01,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",52.933,"2024-10-03T17:31:57.030089Z"
31,"1","2024-10-03T17:34:34.812258Z",29,"http://localhost:8081/GB.389911.A-016.png","[{""x"":20.387846726651464,""y"":30.56999999999984,""width"":41.63687887237504,""height"":45.56999999999975,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":27.78,""y"":19.08,""width"":30.87,""height"":9.82,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":68.22,""y"":32.9,""width"":10.52,""height"":8.73,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":63.77337387516696,""y"":45.09119746485585,""width"":16.659898231433626,""height"":16.920841742132804,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",156.85,"2024-10-03T17:34:34.812302Z"
32,"1","2024-10-03T19:00:20.838271Z",30,"http://localhost:8081/GB.389911.A-017.png","[{""x"":36.82435947215154,""y"":13.832815792565889,""width"":42.92564052784847,""height"":23.167184207434097,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":21.8,""y"":40.17,""width"":29.4,""height"":32.64,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":65.08,""y"":60.01,""width"":23.15,""height"":9.89,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":53.74,""y"":53.45,""width"":7.68,""height"":19.98,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":65.08,""y"":39.4,""width"":10.96,""height"":13.97,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":53.2,""y"":39.25,""width"":10.42,""height"":12.63,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":34.95,""y"":38.26,""width"":8.6,""height"":11.49,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":39.04,""y"":5.07,""width"":8.64,""height"":5.87,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":24.27818355395786,""y"":15.577045224581735,""width"":10.608954158031949,""height"":16.48151881826694,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":50.664556716242735,""y"":6.431812221762797,""width"":16.457480168229154,""height"":6.532309287727821,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",144.782,"2024-10-03T19:00:20.838328Z"
33,"1","2024-10-03T19:01:10.904541Z",31,"http://localhost:8081/GB.395042.A-005.png","[{""x"":23.88,""y"":54.99,""width"":28.05,""height"":21.81,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":21.57,""y"":18.47,""width"":22.49,""height"":17.16,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":50.93,""y"":49.26,""width"":23.53,""height"":15.34,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":45.41,""y"":19.73,""width"":25.42,""height"":13.57,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":51.97,""y"":66.7,""width"":23.15,""height"":11.06,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":26.74,""y"":39.99,""width"":18.87,""height"":9.64,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":46.45,""y"":35.26,""width"":24.42,""height"":7.04,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",49.169,"2024-10-03T19:01:10.904588Z"
34,"1","2024-10-03T19:01:31.440567Z",32,"http://localhost:8081/GB.400571.A-004.png","[{""x"":16.25,""y"":18.69,""width"":63.78,""height"":15.48,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":30,""y"":43.03,""width"":40.07,""height"":15.87,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":30.68,""y"":69.8,""width"":37.17,""height"":14.78,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",19.796,"2024-10-03T19:01:31.440619Z"
35,"1","2024-10-03T19:01:52.822259Z",33,"http://localhost:8081/GB.400571.A-005.png","[{""x"":17.41,""y"":17.98,""width"":64.34,""height"":16.3,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":17.26,""y"":43.17,""width"":64.19,""height"":16.32,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":16.96,""y"":69.49,""width"":64.04,""height"":16.18,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",20.604,"2024-10-03T19:01:52.822294Z"
36,"1","2024-10-03T19:02:55.959305Z",34,"http://localhost:8081/GB.400571.A-006.png","[{""x"":48.229999999999436,""y"":3.531099267606847,""width"":15.73999999999982,""height"":34.14890073239277,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":24.26999999999968,""y"":3.5979800650065825,""width"":15.659999999999782,""height"":34.112019934993,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":73.41999999999959,""y"":3.7317416598060573,""width"":15.19999999999992,""height"":34.03825834019376,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":25.35000000000004,""y"":39.74000000000002,""width"":14.659999999999995,""height"":34.01028436018956,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":48.42,""y"":45.55,""width"":15.66,""height"":21.75,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":73.38,""y"":46.24,""width"":14.7,""height"":20.87,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",62.415,"2024-10-03T19:02:55.959354Z"
37,"1","2024-10-03T19:03:16.319026Z",35,"http://localhost:8081/GB.401900.A-003.png","[{""x"":37.04,""y"":36.4,""width"":28.2,""height"":24.97,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",19.715,"2024-10-03T19:03:16.319075Z"
38,"1","2024-10-03T19:04:02.181637Z",36,"http://localhost:8081/GB.401900.A-004.png","[{""x"":18.02,""y"":17.19,""width"":56.98,""height"":39.03,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":25.07999999999995,""y"":57.12236966824644,""width"":39.26999999999995,""height"":28.76763033175367,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",45.167,"2024-10-03T19:04:02.181688Z"
39,"1","2024-10-03T19:04:31.693932Z",37,"http://localhost:8081/GB.401900.A-005.png","[{""x"":22.69,""y"":7.81,""width"":36.88,""height"":30.19,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":60.60403106898368,""y"":14.309999999999995,""width"":26.895968931016327,""height"":20.299999999999997,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":40.74,""y"":49.89,""width"":23.57,""height"":14.77,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",18.807,"2024-10-03T19:04:31.694051Z"
40,"1","2024-10-03T19:04:48.257384Z",38,"http://localhost:8081/GB.402362.A-002.png","[{""x"":29.21,""y"":16.44,""width"":35.39,""height"":33.52,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":42.14,""y"":65.78,""width"":15.68,""height"":17.25,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",15.692,"2024-10-03T19:04:48.257430Z"
